Large Language Model,Compilation Fail,JPF Evaluation Fail,Pass JPF Evaluation,Passing Rate,CodeBLEU
gpt-5,4,6,33,33/43 (76.74%),0.587507
claude-opus-4-1,0,15,28,28/43 (65.12%),0.584580
gpt-4o,6,10,27,27/43 (62.79%),0.559714
llama3.3:70b,15,6,22,22/43 (51.16%),0.513822
codestral:22b,16,8,19,19/43 (44.19%),0.489677
qwen3:32b,10,12,21,21/43 (48.84%),0.533032
phind-codellama:34b,19,12,12,12/43 (27.91%),0.461227
zephyr:7b,40,1,2,2/43 (4.65%),0.526529
magicoder:7b,28,8,7,7/43 (16.28%),0.445773
codellama:34b,35,8,0,0/43 (0.00%),0.447361
codeqwen:7b,26,10,7,7/43 (16.28%),0.466267
starcoder2:15b,35,6,2,2/43 (4.65%),0.428584
mixtral:8x7b,18,12,13,13/43 (30.23%),0.516452
llava:34b,37,1,5,5/43 (11.63%),0.484219
phi4:14b,17,3,23,23/43 (53.49%),0.555917
dolphin3:8b,25,5,13,13/43 (30.23%),0.511836
vicuna:33b,35,3,5,5/43 (11.63%),0.446593
opencoder:8b,18,8,17,17/43 (39.53%),0.493470
deepseek-r1:32b,18,9,16,16/43 (37.21%),0.548415
gemma2:27b,22,8,13,13/43 (30.23%),0.482517
wizardcoder:33b,13,14,16,16/43 (37.21%),0.481709
mistral:7b,34,6,3,3/43 (6.98%),0.513751
