Large Language Models,Compilation Errors,JPF Errors,Passes,Passing Rate,CodeBLEU
gpt-5,0,10,33,76.74%,0.591823
claude-opus-4-1-20250805,0,4,39,90.70%,0.592410
gpt-4o,2,7,34,79.07%,0.565113
llama3.3:70b,12,4,27,62.79%,0.511387
codestral:22b,6,6,31,72.09%,0.495106
qwen3:32b,0,7,36,83.72%,0.546906
phind-codellama:34b,9,10,24,55.81%,0.470994
zephyr:7b,32,6,5,11.63%,0.505840
magicoder:7b,19,12,12,27.91%,0.457410
deepseek-v2:16b,33,8,2,4.65%,0.562685
codellama:34b,19,12,12,27.91%,0.461124
codeqwen:7b,16,7,20,46.51%,0.490967
stable-code:3b,38,4,1,2.33%,0.419701
starcoder2:15b,10,25,8,18.60%,0.438898
mixtral:8x7b,10,18,15,34.88%,0.559218
llava:34b,31,4,8,18.60%,0.466870
phi4:14b,3,6,34,79.07%,0.534740
dolphin3:8b,18,7,18,41.86%,0.520012
vicuna:33b,28,7,8,18.60%,0.465669
opencoder:8b,9,6,28,65.12%,0.471892
deepseek-r1:32b,7,4,32,74.42%,0.544580
gemma2:27b,19,8,16,37.21%,0.490183
wizardcoder:33b,4,9,30,69.77%,0.476771
mistral:7b,30,5,8,18.60%,0.541255
