Large Language Model,Compilation Fail,JPF Fail,Passes,Passing Rate,CodeBLEU
claude-opus-4-1-20250805,0,6,37,37/43(86.05%),0.593595
codellama:34b,19,13,11,11/43(25.58%),0.463660
codeqwen:7b,16,9,18,18/43(41.86%),0.497107
codestral:22b,6,8,29,29/43(67.44%),0.668762
deepseek-r1:32b,7,6,30,30/43(69.77%),0.549887
dolphin3:8b,18,7,18,18/43(41.86%),0.597928
gemma2:27b,19,10,14,14/43(32.56%),0.498632
gpt-4o,2,7,34,34/43(79.07%),0.724407
gpt-5,0,11,32,32/43(74.42%),0.638047
llama3.3:70b,12,6,25,25/43(58.14%),0.567018
llava:34b,31,4,8,8/43(18.60%),0.466870
magicoder:7b,19,12,12,12/43(27.91%),0.457410
mistral:7b,30,7,6,6/43(13.95%),0.543555
mixtral:8x7b,10,18,15,15/43(34.88%),0.559218
opencoder:8b,9,8,26,26/43(60.47%),0.537506
phi4:14b,3,7,33,33/43(76.74%),0.578995
phind-codellama:34b,9,11,23,23/43(53.49%),0.538943
qwen3:32b,0,9,34,34/43(79.07%),0.597609
starcoder2:15b,10,25,8,8/43(18.60%),0.438898
vicuna:33b,28,7,8,8/43(18.60%),0.465669
wizardcoder:33b,4,10,29,29/43(67.44%),0.686790
zephyr:7b,32,7,4,4/43(9.30%),0.499297
