LLM,Prompt Title,Original Error Type,Classification,Details
claude-opus-4-1-20250805,Using a factory method to prevent the this reference from escaping during construction. M0,Compilation Errors,Syntax error,"./temp_compile/SafeListener.java:60: error: local variables referenced from an inner class must be final or effectively final
                    private final int id = i;
                                           ^
1 error"
codellama:34b,Counting sheep. M1,Compilation Errors,Syntax error,"./temp_compile/SleepyTraveler.java:8: error: unreported exception InterruptedException; must be caught or declared to be thrown
        executor.submit(() -> traveler.tryToSleep());
                                                 ^
1 error"
codellama:34b,Counting sheep. M2,Compilation Errors,Syntax error,"./temp_compile/Wanderer.java:9: error: non-static method tryToSleep() cannot be referenced from a static context
                tryToSleep();
                ^
./temp_compile/Wanderer.java:15: error: non-static method countSomeSheep() cannot be referenced from a static context
                count"
codellama:34b,Counting sheep. M3,Compilation Errors,Missing package,"./temp_compile/Scout.java:16: error: cannot find symbol
        ExecutorService executor = Executors.newFixedThreadPool(2);
        ^
  symbol:   class ExecutorService
  location: class Scout
./temp_compile/Scout.java:16: error: cannot find symbol
        ExecutorService executor = Executors.newFixe"
codellama:34b,Immutable class built out of mutable underlying objects. M1,Compilation Errors,Missing package,"./temp_compile/CosmicCats.java:2: error: cannot find symbol
    private final Set<Integer> catIdentifiers;
                  ^
  symbol:   class Set
  location: class CosmicCats
./temp_compile/CosmicCats.java:4: error: cannot find symbol
    public CosmicCats(Set<Integer> catIds) {
                 "
codellama:34b,Immutable class built out of mutable underlying objects. M2,Compilation Errors,Missing package,"./temp_compile/MysticMonkeys.java:2: error: cannot find symbol
    private Set<String> monkeyLabels;
            ^
  symbol:   class Set
  location: class MysticMonkeys
./temp_compile/MysticMonkeys.java:5: error: cannot find symbol
        this.monkeyLabels = new HashSet<>();
                       "
codellama:34b,Returning a static copy of the location set instead of a 'live' one. M1,Compilation Errors,Missing package,"./temp_compile/DelegatingDeviceTracker.java:17: error: cannot find symbol
  public Map<String, String> getAllPositions() {
         ^
  symbol:   class Map
  location: class DelegatingDeviceTracker
./temp_compile/DelegatingDeviceTracker.java:18: error: cannot find symbol
    return Collections.unmod"
codellama:34b,Returning a static copy of the location set instead of a 'live' one. M2,Compilation Errors,Third-party library usage,"./temp_compile/DelegatingParcelTracker.java:4: error: cannot find symbol
    private final ConcurrentHashMap<String, Position> positions = new ConcurrentHashMap<>();
                                            ^
  symbol:   class Position
  location: class DelegatingParcelTracker
./temp_compile/Dele"
codellama:34b,Returning a static copy of the location set instead of a 'live' one. M3,Compilation Errors,Third-party library usage,"./temp_compile/DelegatingRobotTracker.java:5: error: cannot find symbol
    private ConcurrentHashMap<String, Coordinates> robots = new ConcurrentHashMap<>();
                                      ^
  symbol:   class Coordinates
  location: class DelegatingRobotTracker
./temp_compile/DelegatingRobot"
codellama:34b,Candidate for lock elision. M1,Compilation Errors,Missing package,"./temp_compile/QuantumQuokkas.java:13: error: class Main is public, should be declared in a file named Main.java
public class Main {
       ^
./temp_compile/QuantumQuokkas.java:8: error: cannot find symbol
    public List<String> getQuokkaLabels() {
           ^
  symbol:   class List
  location: cl"
codellama:34b,Candidate for lock elision. M2,Compilation Errors,Missing package,"./temp_compile/SolarSquirrels.java:13: error: class Main is public, should be declared in a file named Main.java
public class Main {
       ^
./temp_compile/SolarSquirrels.java:2: error: cannot find symbol
    private final List<String> squirrelIdentifiers = Arrays.asList(""Nutty"", ""Whisk"", ""Fidget"")"
codellama:34b,Candidate for lock elision. M3,Compilation Errors,Syntax error,"./temp_compile/MysticMantas.java:5: error: cannot find symbol
        return Arrays.stream(tags).anyMatch(t -> t.equalsIgnoreCase(tag));
               ^
  symbol:   variable Arrays
  location: class MysticMantas
./temp_compile/MysticMantas.java:9: error: cannot find symbol
        return Arrays.str"
codellama:34b,Avoiding lock-ordering deadlock using try Lock. M1,Compilation Errors,Third-party library usage,"./temp_compile/DeadlockAvoidance.java:8: error: cannot find symbol
    public static void main(String[] args) throws NotEnoughItemsException, InterruptedException {
                                                  ^
  symbol:   class NotEnoughItemsException
  location: class DeadlockAvoidance
./tem"
codellama:34b,Avoiding lock-ordering deadlock using try Lock. M2,Compilation Errors,Missing package,"./temp_compile/DeadlockAvoidanceMechanism.java:41: error: cannot find symbol
    ReentrantLock lock1;
    ^
  symbol:   class ReentrantLock
  location: class Swapper
./temp_compile/DeadlockAvoidanceMechanism.java:42: error: cannot find symbol
    ReentrantLock lock2;
    ^
  symbol:   class Reentran"
