large language model,problem name,concurrency bug
claude-opus-4-1-20250805,Barrier-based timer.,NPE
claude-opus-4-1-20250805,Bounded buffer using Semaphore.,NPE
claude-opus-4-1-20250805,Caching the last result using a volatile reference to an immutable holder object.,NPE
claude-opus-4-1-20250805,Candidate for lock splitting.,NPE
claude-opus-4-1-20250805,Counting sheep.,NPE
claude-opus-4-1-20250805,Driver loop that induces deadlock under typical conditions.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread DemonstrateDeadlock..."""
claude-opus-4-1-20250805,Hash-based map using lock striping.,NPE
claude-opus-4-1-20250805,Immutable holder for caching a number and its factors.,NPE
claude-opus-4-1-20250805,Nonblocking counter using CAS.,NPE
claude-opus-4-1-20250805,Reducing lock duration.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.util.concurrent.ExecutionException: java.lang..."""
claude-opus-4-1-20250805,Returning a static copy of the location set instead of a 'live' one.,NPE
claude-opus-4-1-20250805,ServerStatus refactored to use split locks.,NPE
claude-opus-4-1-20250805,Simple thread-safe counter using the Java monitor pattern.,NPE
claude-opus-4-1-20250805,Simulated CAS operation.,NPE
claude-opus-4-1-20250805,Thread confinement of local primitive and reference variables.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.ClassCastException: java.util.Comparator..."""
codellama:34b,Caching the last result using a volatile reference to an immutable holder object.,"error #1: gov.nasa.jpf.vm.NotDeadlockedProperty ""deadlock encountered:   thread java.lang.Thread:{i..."""
codellama:34b,Candidate for lock elision.,[SEVERE] no static entry method: ThreeStooges.main([Ljava/lang/String;)V
codellama:34b,Generating a second's worth of prime numbers.,[SEVERE] no static entry method: PrimeGenerator.main([Ljava/lang/String;)V
codellama:34b,Immutable class built out of mutable underlying objects.,[SEVERE] no static entry method: ThreeStooges.main([Ljava/lang/String;)V
codellama:34b,Nonblocking stack using Treiber's algorithm.,[SEVERE] no static entry method: ConcurrentStack.main([Ljava/lang/String;)V
codellama:34b,ServerStatus refactored to use split locks.,[SEVERE] no static entry method: ServerStatusAfterSplit.main([Ljava/lang/String;)V
codellama:34b,Using CountDownLatch for starting and stopping threads in timing tests.,"error #1: gov.nasa.jpf.vm.NoUncaughtExceptionsProperty ""java.lang.NoSuchMethodError: sun.misc.Unsafe.getAn..."""
codellama:34b,Wrapping a Map with a read-write lock.,[SEVERE] no static entry method: ReadWriteMap.main([Ljava/lang/String;)V
